STATE,CNTYCD,COUNTYNAME,COUNTY,STATEDESC,YEAR,FORCE,EMPLOYED,UNEMPLOYED,UNEMPLOYMENTRATE
39,87,"Lawrence County, OH",Lawrence County, OH,2013,26164,23867,2297,8.8
39,89,"Licking County, OH",Licking County, OH,2013,86627,80627,6000,6.9
39,91,"Logan County, OH",Logan County, OH,2013,23081,21500,1581,6.8
39,93,"Lorain County, OH",Lorain County, OH,2013,150037,138963,11074,7.4
39,95,"Lucas County, OH",Lucas County, OH,2013,211073,192736,18337,8.7
39,97,"Madison County, OH",Madison County, OH,2013,20266,18997,1269,6.3
39,99,"Mahoning County, OH",Mahoning County, OH,2013,109724,100347,9377,8.5
39,101,"Marion County, OH",Marion County, OH,2013,28175,25948,2227,7.9
39,103,"Medina County, OH",Medina County, OH,2013,94377,88903,5474,5.8
39,105,"Meigs County, OH",Meigs County, OH,2013,9429,8309,1120,11.9
39,107,"Mercer County, OH",Mercer County, OH,2013,22429,21279,1150,5.1
39,109,"Miami County, OH",Miami County, OH,2013,51942,48193,3749,7.2
39,111,"Monroe County, OH",Monroe County, OH,2013,6494,5844,650,10
39,113,"Montgomery County, OH",Montgomery County, OH,2013,251716,230810,20906,8.3
39,115,"Morgan County, OH",Morgan County, OH,2013,6704,6026,678,10.1
39,117,"Morrow County, OH",Morrow County, OH,2013,16923,15563,1360,8
39,119,"Muskingum County, OH",Muskingum County, OH,2013,40027,36362,3665,9.2
39,121,"Noble County, OH",Noble County, OH,2013,5297,4786,511,9.6
